Client,Signal Type,Account Name,Account Type,Account Crm Id,Signal Recipient Name,Signal Recipient Email,Signal Recipient Crm Id,Account Observer Name,Account Observer Email,Account Observer Crm Id,Extra Field 1,Extra Field 2,Extra Field 3,Extra Field 4,Extra Field 5,Stakeholder Current Company,Stakeholder First Name,Stakeholder Last Name,Stakeholder Current Title,Stakeholder Time In Current Role,Stakeholder Current Email,Email Status,Previous Account Left,Previous Title,Link To Signal,Stakeholder Geography,Stakeholder City,Stakeholder State,Stakeholder Country,Signal Issue Date,Source,Number Of Roles Ago,Year Of Departure,Current Account City,Current Account State,Current Account Country,Current Account Industry,Current Account Headcount,Profile Source,Comment Summary,Comment Detail
AREA 51,Customers Moving Into Greenfield Accounts,Prospective Account,Prospective Account,123444,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,,,,,,,,,Telegram,Lewis,Crowe,CEO,6,lewis@gmail.com,active,,,https://www.linkedin.com,,,,,2023-08-10,Pipeline Signals,6,2022,,,,,,Bulk Upload,"Customers Moving Into Greenfield Accounts - Lewis Crowe,CEO at SAP","Lewis Crowe has joined SAP, 6 ago as CEO. They were previously the  at  . They were in this position 6 role(s) ago, and left in 2022.
"
AREA 51,Stakeholders Leaving Customer Accounts,Past Customer,Past Customer,123456,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,,,,,,,,,Messenger,Mark,Twain,COO,5,mark@gmail.com,active,,,https://www.youtube.com,,,,,2023-08-08,Pipeline Signals,5,2023,,,,,,Bulk Upload,"Stakeholders Leaving Customer Accounts - Mark Twain, at ","Mark Twain has left , 5 ago as ."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Ralph,Aberama Jonas,Gold,Assistant,2 years,gmoore@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-16,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Aberama Jonas Gold,Distillery Events Assistant at ","Aberama Jonas Gold has left , 2 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,microtest,James,Leigh Moore,Analyst,2 years,reachabdulhannan123@gmail.com,active,,Assistant,https://www.youtube.com,,,,,2023-08-23,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - James Leigh Moore,Assistant at ","James Leigh Moore has left , 2 years ago as Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Samsungss,Trevor,Solomons,Assistant,3 years,aberama@gmail.cm,active,,,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-16,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Trevor Solomons, at ","Trevor Solomons has left , 3 years ago as ."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,23423423,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Van,Theodore,Roosevelt,COO,4,theo@gmail.com,active,,,https://www.youtube.com,,,,,2023-08-15,Pipeline Signals,4,2022,,,,,,Bulk Upload,"Stakeholders Leaving Customer Accounts - Theodore Roosevelt, at ","Theodore Roosevelt has left , 4 ago as ."
AREA 51,Customers Moving Into Prospect Accounts,Past Customer,Past Customer,4564562,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Javascript,Mathew,Perry,COO,7,matthew@gmail.com,active,,,https:www.youtube.com,,,,,2023-08-15,Pipeline Signals,5,2023,,,,,,Bulk Upload,"Customers Moving Into Prospect Accounts - Mathew Perry,COO at Target","Mathew Perry has joined Target, 7 ago as COO. They were previously the  at  . They were in this position 5 role(s) ago, and left in 2023."
AREA 51,Customers Moving Into Prospect Accounts,Past Customer,Past Customer,12312312,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Tailwind,George,Washington,CEO,5,geroge@gmail.com,active,,,https:www.youtube.com,,,,,2023-08-12,Pipeline Signals,5,2022,,,,,,Bulk Upload,"Customers Moving Into Prospect Accounts - George Washington,CEO at Target","George Washington has joined Target, 5 ago as CEO. They were previously the  at  . They were in this position 5 role(s) ago, and left in 2022."
AREA 51,Stakeholders Being Hired In Prospect Accounts,Active Customer,Active Customer,2345234,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,GoSport,Giovanni,Cupello,COO,5,giovanni@gmail.com,active,,,https://www.linkedin.com,,,,,2023-08-11,Pipeline Signals,4,2023q,,,,,,Bulk Upload,"Stakeholders Being Hired In Prospect Accounts - Giovanni Cupello,COO at Target","Giovanni Cupello has joined Target, 5 ago as COO. They were previously  at ."
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,234234,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,TEKSystem,Rogerq,Federer,COO,4,roger@gmail.com,active,,,https://www.linkedin.com,,,,,2023-08-01,Pipeline Signals,4,2022,,,,,,Bulk Upload,"Stakeholders Being Hired In Customer Accounts - Rogerq Federer,COO at Target","Rogerq Federer has joined Target, 4 ago as COO. They were previously  at .
"
AREA 51,Stakeholders Leaving Customer Accounts,Past Customer,Past Customer,4565654,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,,,,,,Ford,Timon,Jsoeph Chalamet,CEO,4,timotheechalA@gmail.com,active,,,https://www.youtube.com,,,,,2023-08-09,Pipeline Signals,4,2022,,,,,,Bulk Upload,"Stakeholders Leaving Customer Accounts - Timon Jsoeph Chalamet, at ","Timon Jsoeph Chalamet has left , 4 ago as ."
AREA 51,Customers Moving Into Greenfield Accounts,Active Customer,Active Customer,1233345,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,HBO,Jonathan,Ross,COO,3 years,jonathanross@gmail.com,active,,,https:www.linkedin.com,,,,,2023-08-16,Pipeline Signals,6,2022,,,,,,Bulk Upload,"Customers Moving Into Greenfield Accounts - Jonathan Ross,COO at Target","Jonathan Ross has joined Target, 3 years ago as COO. They were previously the  at  . They were in this position 6 role(s) ago, and left in 2022.
"
AREA 51,Customers Moving Into Greenfield Accounts,Active Customer,Active Customer,456565,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,,,,Hyundai,Keith,,CEO,9 years,Timothee@gmail.com,Active,,,https://www.likedin.com,,,,,2023-08-15,Pipeline Signals,3,2019,,,,,,Bulk Upload,"Customers Moving Into Greenfield Accounts - Keith ,CEO at Target","Keith  has joined Target, 9 years ago as CEO. They were previously the  at  . They were in this position 3 role(s) ago, and left in 2019.
"
AREA 51,Customers Moving Into Prospect Accounts,Past Customer,Past Customer,345345,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,,,,Toyata,Lochinvar,,COO,5 years,brandon@gmail.com,Active,,,https://www.likedin.com,,,,,2023-08-09,Pipeline Signals,6,2011,,,,,,Bulk Upload,"Customers Moving Into Prospect Accounts - Lochinvar ,COO at Target","Lochinvar  has joined Target, 5 years ago as COO. They were previously the  at  . They were in this position 6 role(s) ago, and left in 2011."
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,1231234,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,,,,Sonata,Blake,,Associate,3 years,jonathan@gmail.com,Active,,,https://www.likedin.com,,,,,2023-08-03,Pipeline Signals,4,2022,,,,,,Bulk Upload,"Stakeholders Being Hired In Customer Accounts - Blake ,Associate at Target","Blake  has joined Target, 3 years ago as Associate. They were previously  at .
"
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,1222345,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,,,,,,Sony,James,Solomons,Developer,3 years,reachabdulhannan123@gmail.com,active,,Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,North America,Bangalore,Karnataka,India,2023-08-15,Pipeline Signals,1,2022,Bangalore,Karnataka,India,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - James Solomons,Developer at SAP","James Solomons has joined SAP, 3 years ago as Developer. They were previously Assistant at .
"
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,223344,Alex Hales,alexhales@gmail.com,66786876,Alex Hales,alexhales@gmail.com,66786876,,,,,,Apple,Trevor,Gold,Developer,4 years,reachabdulhannan123@gmail.com,active,,Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,Bangalore,Karnataka,India,2023-08-16,Pipeline Signals,1,2023,Bangalore,Karnataka,India,,,Admin Page,"Stakeholders Leaving Customer Accounts - Trevor Gold,Assistant at ","Trevor Gold has left , 4 years ago as Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,223344,Alex Hales,alexhales@gmail.com,66786876,Alex Hales,alexhales@gmail.com,66786876,,,,,,microtests,Georgia,Flamingo,CEO,4 years,aberama@gmail.cm,active,,Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,North America,Bangalore,Karnataka,India,2023-08-23,Pipeline Signals,1,2023,Bangalore,Karnataka,India,,,Admin Page,"Stakeholders Leaving Customer Accounts - Georgia Flamingo,Assistant at ","Georgia Flamingo has left , 4 years ago as Assistant."
AREA 51,Stakeholders Being Hired In Prospect Accounts,Active Customer,Active Customer,223444,Alex Hales,alexhales@gmail.com,66786876,Alex Hales,alexhales@gmail.com,66786876,,,,,,Applicoms,Georgia,A Flamingo,CEO,8 years,georgina@gmail.com,active,,Distillery,https://www.linkedin.com/in/hannan-2a96081a6/,America,Bangalor,Karnatak,India,2023-08-17,Pipeline Signals,1,2023,Bangalor,Karnatak,India,,,Admin Page,"Stakeholders Being Hired In Prospect Accounts - Georgia A Flamingo,CEO at Airbus","Georgia A Flamingo has joined Airbus, 8 years ago as CEO. They were previously Distillery at ."
AREA 51,Customers Moving Into Prospect Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Samsung,Jonathan,Flamingo,Assistant,8 years,reachabdulhannan123@gmail.com,active,,Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,North America,Bangalore,Karnataka,India,2023-07-20,Pipeline Signals,1,2023,Bangalore,Karnataka,India,,,Admin Page,"Customers Moving Into Prospect Accounts - Jonathan Flamingo,Assistant at Target","Jonathan Flamingo has joined Target, 8 years ago as Assistant. They were previously the Assistant at  . They were in this position 1 role(s) ago, and left in 2023."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Applicom,Aberama,Gold,Manager,2,gmoore@gmail.com,active,,Assistant,https://www.linkedin.com/in/georgia-2a96081a6/,,Bangalore,Karnataka,India,2023-07-17,Pipeline Signals,1,2023,Bangalore,Karnataka,India,,,Admin Page,"Stakeholders Leaving Customer Accounts - Aberama Gold,Assistant at ","Aberama Gold has left , 2 ago as Assistant."
AREA 51,Stakeholders Being Hired In Prospect Accounts,Active Customer,Active Customer,223344,Alex Hales,alexhales@gmail.com,66786876,Alex Hales,alexhales@gmail.com,66786876,,,,,,microtest,Bob,Leigh Moore,Manager,3 years,test@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,asia,Bangalore,Karnataka,India,2023-07-31,Pipeline Signals,4,2023,Bangalore,Karnataka,Indiana,,,Admin Page,"Stakeholders Being Hired In Prospect Accounts - Bob Leigh Moore,Manager at Instagram","Bob Leigh Moore has joined Instagram, 3 years ago as Manager. They were previously Distillery Events Assistant at ."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,000000,Tony Blair,tonyblair@gmail.com,16500084,Tony Blair,tonyblair@gmail.com,16500084,,,,,,Ebay,James,Flamingo,COO,4 years,gmoore@sazerac.com,active,,Assistant,https://www.youtube.com,North America,Bangalore,Karnataka,India,2023-07-21,Pipeline Signals,4,2023,Bangalore,Karnataka,India,,,Admin Page,"Stakeholders Leaving Customer Accounts - James Flamingo,Assistant at ","James Flamingo has left , 4 years ago as Assistant."
